iter	Passed	Remaining
883	2337	306
884	2339	304
885	2342	301
886	2344	298
887	2347	296
888	2349	293
889	2351	290
890	2354	288
891	2357	285
892	2359	282
893	2362	280
894	2364	277
895	2367	274
896	2369	272
897	2372	269
898	2374	266
899	2376	264
900	2379	261
901	2381	258
902	2384	256
903	2386	253
904	2389	250
905	2391	248
906	2393	245
907	2396	242
908	2399	240
909	2402	237
910	2404	234
911	2406	232
912	2409	229
913	2411	226
914	2414	224
915	2417	221
916	2419	218
917	2421	216
918	2424	213
919	2427	211
920	2430	208
921	2432	205
922	2434	203
923	2437	200
924	2439	197
925	2442	195
926	2445	192
927	2448	189
928	2450	187
929	2452	184
930	2455	181
931	2457	179
932	2460	176
933	2463	174
934	2465	171
935	2468	168
936	2470	166
937	2473	163
938	2476	160
939	2478	158
940	2481	155
941	2483	152
942	2485	150
943	2488	147
944	2491	145
945	2493	142
946	2496	139
947	2498	137
948	2501	134
949	2503	131
950	2506	129
951	2508	126
952	2511	123
953	2513	121
954	2516	118
955	2519	115
956	2522	113
957	2524	110
958	2527	108
959	2529	105
960	2532	102
961	2534	100
962	2537	97
963	2539	94
964	2542	92
965	2544	89
966	2547	86
967	2549	84
968	2552	81
969	2554	79
970	2557	76
971	2559	73
972	2562	71
973	2564	68
974	2567	65
975	2569	63
976	2572	60
977	2575	57
978	2577	55
979	2580	52
980	2582	50
981	2585	47
982	2588	44
983	2590	42
984	2592	39
985	2594	36
986	2597	34
987	2600	31
988	2602	28
989	2604	26
990	2607	23
991	2609	21
992	2612	18
993	2614	15
994	2617	13
995	2619	10
996	2621	7
997	2623	5
998	2626	2
999	2629	0
